Tamaño
Carta
Tabloide
175 X 215 mm (EDURNE)
33 x 48 cm (HP)
330 x 373 mm
4 x 1 in (Etiqueta)
4 x 6 in (Etiqueta)
43.8 x 30.48 cm
48.2 x 21.55 cm (OCE)
50 x 30.84 mm (Etiqueta)
